V1	C2	V3	C4
0.0507828	0.01672414	0.0507828	0.01672414
0.14539018	0.04779199	0.14539018	0.04779199
0.32065797	0.10510574	0.32065797	0.10510574
0.19098483	0.06241035	0.19098483	0.06241035
0.07196265	0.02337718	0.07196265	0.02337718
0.02706992	0.00888089	0.02706992	0.00888089
0.01016266	0.00332652	0.01016266	0.00332652
0.00381481	0.00122074	0.00381481	0.00122074
0.00143437	0.00042726	0.00143437	0.00042726
-0.16821802	-0.05514695	-0.16821802	-0.05514695
-0.14978485	-0.04910428	-0.14978485	-0.04910428
-0.24939726	-0.08200324	-0.24939726	-0.08200324
-0.09390546	-0.03094577	-0.09390546	-0.03094577
-0.03530991	-0.01174963	-0.03530991	-0.01174963
-0.01330607	-0.00439467	-0.01330607	-0.00439467
-0.004944	-0.00170904	-0.004944	-0.00170904
-0.00183111	-0.00061037	-0.00183111	-0.00061037
0.15753655	0.05172887	0.15753655	0.05172887
0.14935759	0.04892117	0.14935759	0.04892117
0.36594746	0.11981567	0.36594746	0.11981567
0.13779107	0.04513688	0.13779107	0.04513688
0.05191198	0.01684622	0.05191198	0.01684622
0.01956236	0.00619526	0.01956236	0.00619526
0.00729392	0.00244148	0.00729392	0.00244148
0.00274667	0.00091556	0.00274667	0.00091556
-0.06967375	-0.02267525	-0.06967375	-0.02267525
-0.15610218	-0.0512711	-0.15610218	-0.0512711
-0.32709739	-0.10736412	-0.32709739	-0.10736412
-0.1790521	-0.05896176	-0.1790521	-0.05896176
-0.06738487	-0.02227851	-0.06738487	-0.02227851
-0.02533036	-0.00845363	-0.02533036	-0.00845363
-0.00946074	-0.00323496	-0.00946074	-0.00323496
-0.00357067	-0.00125126	-0.00357067	-0.00125126
-0.00134281	-0.00042726	-0.00134281	-0.00042726
0.15515611	0.05099643	0.15515611	0.05099643
0.14093448	0.04620502	0.14093448	0.04620502
0.26367992	0.0863979	0.26367992	0.0863979
0.09924619	0.03259377	0.09924619	0.03259377
0.03741569	0.0122074	0.03741569	0.0122074
0.01409955	0.0044557	0.01409955	0.0044557
0.00531022	0.00155644	0.00531022	0.00155644
0.00201422	0.00051881	0.00201422	0.00051881
-0.17719047	-0.05807672	-0.17719047	-0.05807672
-0.15265359	-0.05001984	-0.15265359	-0.05001984
-0.3434248	-0.11285745	-0.3434248	-0.11285745
-0.12933744	-0.04245125	-0.12933744	-0.04245125
-0.04867702	-0.01608326	-0.04867702	-0.01608326
-0.01834162	-0.00604266	-0.01834162	-0.00604266
-0.00683615	-0.00228889	-0.00683615	-0.00228889
-0.00250252	-0.00106815	-0.00250252	-0.00106815
0.05673391	0.01852474	0.05673391	0.01852474
0.14130069	0.04654073	0.14130069	0.04654073
0.32447278	0.10644856	0.32447278	0.10644856
0.1906186	0.06237983	0.1906186	0.06237983
0.07181005	0.02337718	0.07181005	0.02337718
0.02700888	0.00875881	0.02700888	0.00875881
0.01016266	0.003296	0.01016266	0.003296
0.00384533	0.00106815	0.00384533	0.00106815
0.00140385	0.00051881	0.00140385	0.00051881
-0.17303994	-0.0568865	-0.17303994	-0.0568865
-0.14426099	-0.04727317	-0.14426099	-0.04727317
-0.24839015	-0.08151494	-0.24839015	-0.08151494
-0.09353923	-0.03070162	-0.09353923	-0.03070162
-0.03518784	-0.01165807	-0.03518784	-0.01165807
-0.01321451	-0.00436415	-0.01321451	-0.00436415
-0.00488296	-0.00180059	-0.00488296	-0.00180059
-0.00183111	-0.00070193	-0.00183111	-0.00070193
0.15485092	0.05063021	0.15485092	0.05063021
0.14508499	0.04760887	0.14508499	0.04760887
0.36494035	0.119541	0.36494035	0.119541
0.13742484	0.04504532	0.13742484	0.04504532
0.05169836	0.01702933	0.05169836	0.01702933
0.01950133	0.00628681	0.01950133	0.00628681
0.00729392	0.00234993	0.00729392	0.00234993
0.00274667	0.000824	0.00274667	0.000824
-0.08502457	-0.02777184	-0.08502457	-0.02777184
-0.15488143	-0.05087436	-0.15488143	-0.05087436
-0.32618183	-0.10718101	-0.32618183	-0.10718101
